"","Estimate","Std. Error","t value","Pr(>|t|)","formula","response_var","predictor_var"
"(Intercept)",0.0491609527687377,0.0881435008838779,0.557737692237836,0.578349378386643,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_bert","correct","avg_cosine_dist_broad_bert"
"avg_log_freq",0.242091151257145,0.112195951348942,2.15775300575879,0.0334958474573298,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_bert","correct","avg_cosine_dist_broad_bert"
"mean_mem",0.462099486048496,0.129416713407941,3.57063221495888,0.000563437436812531,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_bert","correct","avg_cosine_dist_broad_bert"
"avg_cosine_dist_broad_bert",0.0997078121925021,0.0991995176225536,1.00512396211323,0.317417559232166,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_bert","correct","avg_cosine_dist_broad_bert"
"mean_mem:avg_cosine_dist_broad_bert",-0.0834269396767328,0.148497370274424,-0.561807522399616,0.575584286604501,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_bert","correct","avg_cosine_dist_broad_bert"
