"","Estimate","Std. Error","t value","Pr(>|t|)","formula","response_var","predictor_var"
"(Intercept)",0.175107512032243,0.0875661276861311,1.99971743252016,0.0480650395712587,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_glove","correct","avg_cosine_dist_broad_glove"
"avg_log_freq",-0.0435957553162214,0.124065867506487,-0.351392016131609,0.725985264930498,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_glove","correct","avg_cosine_dist_broad_glove"
"mean_mem",0.6030563880775,0.118165163945355,5.10350401033913,1.45635324654294e-06,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_glove","correct","avg_cosine_dist_broad_glove"
"avg_cosine_dist_broad_glove",-0.00199420628801119,0.138402640854732,-0.014408730033586,0.988530726577958,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_glove","correct","avg_cosine_dist_broad_glove"
"mean_mem:avg_cosine_dist_broad_glove",-0.281200305032096,0.126251916213551,-2.22729534303823,0.0280212664686581,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_glove","correct","avg_cosine_dist_broad_glove"
