"","Estimate","Std. Error","t value","Pr(>|t|)","formula","response_var","predictor_var"
"(Intercept)",0.0172538859122198,0.0959852500275021,0.179755596899275,0.857715600598229,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_sbert","correct","avg_cosine_dist_broad_sbert"
"avg_log_freq",-0.194828289964727,0.113502488784983,-1.71651117125552,0.0892278151673294,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_sbert","correct","avg_cosine_dist_broad_sbert"
"mean_mem",0.162001208091435,0.150909146976416,1.07350158249024,0.285682344199618,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_sbert","correct","avg_cosine_dist_broad_sbert"
"avg_cosine_dist_broad_sbert",0.453131909510441,0.0944500497775029,4.79758253783761,5.74627537191364e-06,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_sbert","correct","avg_cosine_dist_broad_sbert"
"mean_mem:avg_cosine_dist_broad_sbert",-0.287297357970983,0.10288545326319,-2.79240017766215,0.00629140937060901,"acc ~ avg_log_freq + mean_mem*avg_cosine_dist_broad_sbert","correct","avg_cosine_dist_broad_sbert"
